City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Waddān,37,LY,1610245090,26,29.1614,16.139,66.96,10.42
81,Lorengau,100,PG,1610245019,59,-2.0226,147.2712,86.16,5.19
82,Airai,100,TL,1610245018,91,-8.9266,125.4092,72.57,1.48
83,Matara,100,LK,1610244911,87,5.9485,80.5353,75.13,5.53
84,São João da Barra,98,BR,1610245023,88,-21.6403,-41.0511,77.22,14.99
85,New Norfolk,37,AU,1610245029,26,-42.7826,147.0587,81.0,3.0
86,Ponta do Sol,64,PT,1610245016,72,32.6667,-17.1,53.01,3.0
87,Pauini,99,BR,1610245073,89,-7.7136,-66.9764,75.29,2.86
88,Mil'kovo,100,RU,1610245091,90,54.7167,158.6167,11.53,6.78
89,Quelimane,20,MZ,1610245092,83,-17.8786,36.8883,78.8,4.12
90,Hithadhoo,100,MV,1610245038,74,-0.6,73.0833,81.1,11.21
91,Mabaruma,80,GY,1610245046,97,8.2,-59.7833,73.47,4.92
92,Harar,1,ET,1610245092,62,9.3094,42.1258,52.72,3.78
93,Ancud,90,CL,1610245051,87,-41.8697,-73.8203,53.01,9.22
94,San Quintín,0,MX,1610245092,76,30.4833,-115.95,58.75,6.71
95,Lebu,0,CL,1610244861,87,-37.6167,-73.65,54.63,6.91
96,Bisceglie,75,IT,1610245092,100,41.242,16.5044,44.6,3.44
97,Guaratinga,40,BR,1610245093,83,-16.5667,-39.5667,78.8,8.05
98,Mauá,90,BR,1610245093,78,-23.6678,-46.4614,71.6,6.91
99,Cherskiy,98,RU,1610245070,85,68.75,161.3,-27.63,4.34
100,Pangoa,85,PE,1610245072,91,-12.1167,-73.0,69.57,1.9
101,Vila,25,PT,1610245093,80,42.0304,-8.1588,37.0,7.0
102,Gushikawa,40,JP,1610245018,55,26.3544,127.8686,60.8,10.36
103,Carballo,75,ES,1610245093,76,43.213,-8.691,44.6,9.22
104,Sitka,90,US,1610245023,65,57.0531,-135.33,42.8,23.02
105,Yellowknife,1,CA,1610245010,85,62.456,-114.3525,10.4,8.05
106,Katsuura,20,JP,1610244738,33,35.1333,140.3,41.0,5.75
107,Mataura,100,NZ,1610245005,74,-46.1927,168.8643,63.0,21.0
108,Hong Kong,99,HK,1610245089,23,22.2855,114.1577,54.0,8.99
109,Assiut,0,EG,1610245040,82,27.181,31.1837,51.8,6.91
110,Butaritari,100,KI,1610244860,81,3.0707,172.7902,81.41,19.91
111,Geraldton,90,AU,1610245030,65,-28.7667,114.6,77.0,18.41
112,Mahébourg,75,MU,1610244981,89,-20.4081,57.7,78.8,8.05
113,Tromsø,0,NO,1610245094,54,69.6496,18.957,26.6,18.41
114,Tshikapa,90,CD,1610245094,92,-6.4167,20.8,69.06,1.19
115,Sovetskiy,89,RU,1610245095,89,61.3614,63.5842,-15.74,4.92
116,Klaksvík,75,FO,1610245048,86,62.2266,-6.589,30.2,10.36
117,Terney,13,RU,1610245095,78,45.0503,136.6092,0.16,12.08
118,Caravelas,6,BR,1610245023,84,-17.7125,-39.2481,77.59,8.3
119,Ulladulla,12,AU,1610245075,47,-35.35,150.4667,82.0,10.36
120,Mount Isa,40,AU,1610245044,40,-20.7333,139.5,91.4,10.36
121,Jiexiu,83,CN,1610245095,63,37.0244,111.9125,20.44,3.56
122,Flin Flon,0,CA,1610245004,96,54.7682,-101.865,20.01,9.19
123,Kamennomostskiy,96,RU,1610245096,87,44.2983,40.1856,44.64,2.37
124,Alcúdia,40,ES,1610245096,80,39.8532,3.1214,48.99,3.0
125,Vaitape,2,PF,1610245096,71,-16.5167,-151.75,81.23,11.14
126,Sept-Îles,0,CA,1610245072,68,50.2001,-66.3821,24.8,10.36
127,Poum,100,NC,1610245031,80,-20.2333,164.0167,82.53,20.69
128,Yulara,0,AU,1610245076,14,-25.2406,130.9889,93.2,12.66
129,Ribeira Grande,100,PT,1610245037,71,38.5167,-28.7,59.07,14.7
130,Bambous Virieux,75,MU,1610245068,89,-20.3428,57.7575,78.8,8.05
131,Pangnirtung,90,CA,1610245096,66,66.1451,-65.7125,8.6,0.51
132,Meulaboh,79,ID,1610244806,79,4.1363,96.1285,78.85,3.44
133,Dashitou,72,CN,1610245097,86,43.3067,128.5114,1.99,9.28
134,East London,39,ZA,1610244965,80,-33.0153,27.9116,72.41,18.5
135,Anchorage,75,US,1610245083,69,61.2181,-149.9003,30.0,3.44
136,Norman Wells,20,CA,1610244758,92,65.282,-126.8329,1.4,5.75
137,Pueblo,90,US,1610244884,93,38.2545,-104.6091,28.99,8.9
138,Waipawa,44,NZ,1610245097,64,-41.4122,175.5153,71.6,21.85
139,Kimberley,1,ZA,1610245097,88,-28.7323,24.7623,66.2,6.91
140,Inuvik,25,CA,1610245098,92,68.3499,-133.7218,1.4,3.44
141,Rāvar,0,IR,1610245098,52,31.2656,56.8055,34.14,2.24
142,Amahai,96,ID,1610245098,71,-3.3333,128.9167,85.14,5.01
143,Bar Harbor,90,US,1610245098,80,44.3876,-68.2039,32.0,8.05
144,Baykit,100,RU,1610245098,86,61.67,96.37,-9.65,1.28
145,Ylöjärvi,75,FI,1610245098,85,61.5563,23.5961,15.01,5.75
146,Quatre Cocos,75,MU,1610245098,89,-20.2078,57.7625,78.8,8.05
147,Provideniya,0,RU,1610245031,81,64.3833,-173.3,-6.74,6.08
148,Lompoc,1,US,1610245053,62,34.6391,-120.4579,55.99,8.05
149,Bluff,87,NZ,1610245010,74,-46.6,168.3333,63.0,21.0
150,Khuzdar,0,PK,1610245099,57,27.7384,66.6434,38.53,3.06
151,Kumul,70,CN,1610245099,85,42.8,93.45,10.18,3.98
152,Kenai,90,US,1610245099,74,60.5544,-151.2583,33.01,26.46
153,Kuytun,100,RU,1610245099,91,54.3419,101.5036,-1.55,5.17
154,Beringovskiy,98,RU,1610245032,88,63.05,179.3167,-14.67,11.9
155,Tevriz,84,RU,1610245099,93,57.509,72.4042,-0.71,4.56
156,Broken Hill,0,AU,1610244847,23,-31.95,141.4333,86.0,8.05
157,Aswān,0,EG,1610245099,34,24.0934,32.907,59.16,8.14
158,Aquiraz,40,BR,1610245100,83,-3.9014,-38.3911,80.6,8.05
159,Rockland,100,US,1610245100,66,41.1668,-74.0496,34.0,5.93
160,Luena,100,AO,1610245100,97,-11.7833,19.9167,59.27,4.76
